source,target,relation,relation_id
416,66,TO_DESTINATION,0
344,3623,HAS_EXPENDITURE,3
397,3620,HAS_EXPENDITURE,3
236,3618,HAS_EXPENDITURE,3
216,3622,HAS_EXPENDITURE,3
442,3613,HAS_EXPENDITURE,3
273,3607,HAS_EXPENDITURE,3
426,3607,HAS_EXPENDITURE,3
255,3609,HAS_EXPENDITURE,3
372,3581,IN_YEAR,2
383,3610,HAS_EXPENDITURE,3
434,3622,HAS_EXPENDITURE,3
358,3610,HAS_EXPENDITURE,3
314,3610,HAS_EXPENDITURE,3
408,3612,HAS_EXPENDITURE,3
248,3621,HAS_EXPENDITURE,3
228,3609,HAS_EXPENDITURE,3
307,3621,HAS_EXPENDITURE,3
305,3608,HAS_EXPENDITURE,3
256,3615,HAS_EXPENDITURE,3
251,3606,HAS_EXPENDITURE,3
422,101,TO_DESTINATION,0
255,3573,HAS_PURPOSE,1
328,3621,HAS_EXPENDITURE,3
221,3619,HAS_EXPENDITURE,3
220,3622,HAS_EXPENDITURE,3
283,3607,HAS_EXPENDITURE,3
233,3622,HAS_EXPENDITURE,3
329,3623,HAS_EXPENDITURE,3
404,112,TO_DESTINATION,0
433,3610,HAS_EXPENDITURE,3
273,3610,HAS_EXPENDITURE,3
358,95,TO_DESTINATION,0
264,3581,IN_YEAR,2
423,102,TO_DESTINATION,0
401,3620,HAS_EXPENDITURE,3
373,3622,HAS_EXPENDITURE,3
272,3606,HAS_EXPENDITURE,3
406,114,TO_DESTINATION,0
427,3615,HAS_EXPENDITURE,3
382,3617,HAS_EXPENDITURE,3
421,3610,HAS_EXPENDITURE,3
405,3617,HAS_EXPENDITURE,3
365,3608,HAS_EXPENDITURE,3
365,3618,HAS_EXPENDITURE,3
423,3615,HAS_EXPENDITURE,3
356,3621,HAS_EXPENDITURE,3
228,3607,HAS_EXPENDITURE,3
295,3610,HAS_EXPENDITURE,3
327,3614,HAS_EXPENDITURE,3
305,3613,HAS_EXPENDITURE,3
305,3614,HAS_EXPENDITURE,3
298,3609,HAS_EXPENDITURE,3
429,3612,HAS_EXPENDITURE,3
227,3615,HAS_EXPENDITURE,3
251,3616,HAS_EXPENDITURE,3
354,3617,HAS_EXPENDITURE,3
430,3621,HAS_EXPENDITURE,3
372,3618,HAS_EXPENDITURE,3
