freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,TOTAL,N_GE4,NR,CZ	56977164 	55491568 	58977422 	54165640 	61973674 	60503719 	56180788 	63694005 	60211507 	61250454 	56737180 	50461596 
A,PER,DOM,TOTAL,N_GE4,NR,DE	318520067 	314610697 	321755759 	349880710 	336074122 	313742167 	343423283 	331979228 	303382096 	303140111 	327135619 	307990183 
A,PER,DOM,TOTAL,N_GE4,NR,DK	21706809 	20813435 b	27045500 	32089977 	21764373 	21966541 	22173044 	32840909 	31031070 	22341233 	17670067 	17078737 
A,PER,DOM,TOTAL,N_GE4,NR,EE	2176400 	1113294 	1355987 	1704663 	1522593 	1856001 	1675362 	1668933 	1374492 	1815525 	1281147 	1738497 
A,PER,DOM,TOTAL,N_GE4,NR,EL	39750202 	45031406 	49629753 	45416282 	43377775 	50307532 	56127119 	50715956 	50099128 	52484549 	55105145 	52883341 
A,PER,DOM,TOTAL,N_GE4,NR,ES	345235825 	368292135 	341631775 	301281585 b	320518629 	322786394 	309688684 	321117080 	253055774 	296311212 	317324090 	326694972 
A,PER,DOM,TOTAL,N_GE4,NR,FI	34280922 	36615268 	34867827 	34442709 	35510858 	34027406 	34778716 	36877281 	55293757 	60571050 	51776690 	43999589 
A,PER,DOM,TOTAL,N_GE4,NR,FR	782870751 	790872686 	784852185 	709123796 	690845235 	666610524 	679042072 	631604924 	587397684 	631476519 	632024706 	638594002 
A,PER,DOM,TOTAL,N_GE4,NR,HR	20241647 	21112516 	19229294 	18518156 	14191696 	14880060 	13277767 	15696086 	12302788 	15136303 	15796177 	16559722 
A,PER,DOM,TOTAL,N_GE4,NR,HU	23797129 	20968436 	20577188 	18977418 	18044868 	17424939 	19349480 	19261859 	14518154 	14563415 	14594023 	16670275 
A,PER,DOM,TOTAL,N_GE4,NR,IE	8309130 	8290169 	8503676 	7734977 	7908595 	7999524 	8674681 	9014576 	9194256 	7231423 	10461902 	8852736 
A,PER,DOM,TOTAL,N_GE4,NR,IT	227205490 	205099407 	166579585 b	155813090 	174189324 	184071686 	190573060 	181975489 	133990805 	168466594 	173797847 	156763992 
A,PER,DOM,TOTAL,N_GE4,NR,LT	2884756 	3273121 	2906691 	3064406 	3067782 	3090804 	3189235 	3155117 	2402423 	2693317 	2433409 	2746353 
A,PER,DOM,TOTAL,N_GE4,NR,LU	: u	: u	: u	: u	: u	108749 u	88915 u	: u	225387 	420056 	582118 	454293 
A,PER,DOM,TOTAL,N_GE4,NR,LV	2936620 	2689402 	4097721 	2507047 	2986626 	2945279 	1837001 	2265823 	2358854 	3120444 	3173669 	2896670 
A,PER,DOM,TOTAL,N_GE4,NR,ME	: 	: 	: 	: 	2791836 	2494445 	: 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	568682 	390613 	485549 	: 	: 
A,PER,DOM,TOTAL,N_GE4,NR,MT	253075 u	135227 u	160072 b	191059 	298597 	279421 	228279 	220763 	444323 	437983 	376531 	359241 
A,PER,DOM,TOTAL,N_GE4,NR,NL	72708836 	65912058 	62199005 	64293992 	67528546 	68571610 	69202680 	70747478 	68102625 	80037103 	57952546 	59528904 
A,PER,DOM,TOTAL,N_GE4,NR,NO	: 	23681549 	28064714 	24031999 	25971753 	27032040 	28569293 	: 	: 	48214260 	42314811 	40335827 
A,PER,DOM,TOTAL,N_GE4,NR,PL	133664955 	132863998 	130863995 b	137173442 	149000576 	155304789 	162581425 	168498362 	135382482 	161515257 	173755060 	166782447 
A,PER,DOM,TOTAL,N_GE4,NR,PT	31721207 	41671184 	32082295 	33059057 	31940341 	35651934 	34817154 	39272117 	40115371 	43582230 	39137339 	39268450 
A,PER,DOM,TOTAL,N_GE4,NR,RO	39311366 	38223771 	35189000 	31539146 	31951423 	32953197 	33728678 	36584889 	23476056 	33048978 	31415682 	35807591 
A,PER,DOM,TOTAL,N_GE4,NR,RS	: 	: 	: 	: 	: 	: 	3200359 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE4,NR,SE	: 	: 	49529118 	60309769 	59920355 	76719314 	66081091 	68804301 	82784322 	93351603 	105599079 	: 
A,PER,DOM,TOTAL,N_GE4,NR,SI	2364172 	2283375 	2024023 	2114429 	2398000 	2165949 	2071641 	2174279 	2236630 	3982282 	3064476 	3103913 
A,PER,DOM,TOTAL,N_GE4,NR,SK	12485448 	8532204 b	9466132 	11268574 	12554421 	12296251 	14402982 	17344977 	9444983 	9294374 	12416152 	14390143 
A,PER,DOM,TOTAL,N_GE4,NR,UK	169397555 	161152622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,UNK,N1-3,NR,AL	: 	: 	: 	: 	: 	3799000 	: 	4385616 	2710029 	: 	: 	: 
A,PER,DOM,UNK,N1-3,NR,AT	11614059 	12376376 	13302874 	12529539 	13701664 	13388734 	14018212 	15189831 	12233034 	12908098 	18033947 	17792079 
A,PER,DOM,UNK,N1-3,NR,BE	2900170 	3148329 	2689760 	4122410 	3203589 	4180516 b	4525446 	5225267 	4223336 	: 	: 	: 
A,PER,DOM,UNK,N1-3,NR,BG	3842109 	3846551 	4071907 	3032569 	3364116 	5733767 	5021649 	4871905 	2608587 	3810895 	4156231 	4484780 
A,PER,DOM,UNK,N1-3,NR,CH	6866989 	7743597 	6967693 	6853942 	6893722 	7052225 	6270958 	7083808 	7366468 	7991199 	7803821 	: 
A,PER,DOM,UNK,N1-3,NR,CY	1823074 	1537768 	1607076 	1857829 	1903611 	1949968 	2106611 	2224148 	2420453 	2833921 	2429087 	2245089 
