node_id,labels,props
305,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
306,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
307,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
308,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
309,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
310,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
311,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
312,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
313,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
314,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
315,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
316,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
317,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
318,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
319,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
320,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
321,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
322,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
323,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
324,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
325,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
326,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
327,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
328,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PROF
}"
329,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
330,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
331,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
332,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
333,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
334,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
335,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
336,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
337,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
338,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
339,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
340,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
341,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
342,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
343,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
344,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
345,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
346,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
347,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
348,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
349,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
350,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
351,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
352,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
353,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
354,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PROF
}"
