freq,age,purpose,duration,unit,geo,year,value
A,PER,DOM,N_GE1,Y25-44,NR,2012,83991453.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,6202629.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,1850118.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,2686309.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,4483591.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,795683.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,15548903.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,71030499.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,7222039.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,469232143.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,845105.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,8352257.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,99053045.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,553713916.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,10762226.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,166480918.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,5321740.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,8208382.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,3712993.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,64033213.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,934858.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,1418376.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,131332.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,15523558.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,25947347.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,8681054.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,13457711.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,1048607.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,3045393.0
A,PER,DOM,N_GE1,Y35-44,NR,2012,44153251.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,7035650.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,1868919.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,1467337.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,4864177.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,456341.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,10695524.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,87407258.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,7393947.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,397987860.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,377978.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,8270963.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,87068097.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,468540562.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,10692001.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,113007142.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,3629788.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,5201214.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,3190853.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,46107035.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,937868.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,1022404.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,94813.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,17035646.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,26951501.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,6319503.0
